,weight,species_Parkki,species_Perch,species_Pike,species_Roach,species_Smelt,species_Whitefish,height_scaled,width_scaled
0,242.0,0,0,0,0,0,0,0.6281661647399437,-0.2538370865962682
1,290.0,0,0,0,0,0,0,0.8227335848726692,-0.08398508889582597
2,340.0,0,0,0,0,0,0,0.8023372965779051,0.1474642091105706
3,363.0,0,0,0,0,0,0,0.872322231919202,0.004965322595282214
4,430.0,0,0,0,0,0,0,0.8155573077799553,0.40599754537064486
5,450.0,0,0,0,0,0,0,1.042124549143062,0.28415028422032435
6,500.0,0,0,0,0,0,0,1.1518374064678059,0.49108846880189244
7,390.0,0,0,0,0,0,0,0.8604599566722787,0.143855446811808
8,450.0,0,0,0,0,0,0,1.1188543314133,0.2347807626991376
9,500.0,0,0,0,0,0,0,1.16070429576968,0.3030377829535037
10,475.0,0,0,0,0,0,0,1.1675104221128993,0.3884360680262867
11,500.0,0,0,0,0,0,0,1.1878833722386086,0.21752794825809488
12,500.0,0,0,0,0,0,0,1.0721326619396965,-0.046940844897923835
13,340.0,0,0,0,0,0,0,1.101402304339154,0.3699267084153661
14,600.0,0,0,0,0,0,0,1.296113624939694,0.42767788089390324
15,600.0,0,0,0,0,0,0,1.3844867794706917,0.6682954551074273
16,700.0,0,0,0,0,0,0,1.278790479024985,0.49514898349289954
17,700.0,0,0,0,0,0,0,1.2930947531931754,0.44340355743885984
18,610.0,0,0,0,0,0,0,1.4197745161186353,0.4058796984071993
19,650.0,0,0,0,0,0,0,1.207031297851862,0.7548873446529578
20,575.0,0,0,0,0,0,0,1.3280719810826191,0.6621315139575695
21,685.0,0,0,0,0,0,0,1.4845208807183603,0.5451502583975835
22,620.0,0,0,0,0,0,0,1.3998383805613845,0.4920300587648847
23,680.0,0,0,0,0,0,0,1.3900372140234307,0.9908009767569589
24,700.0,0,0,0,0,0,0,1.5284800925939754,0.673578412671685
25,725.0,0,0,0,0,0,0,1.549650045552026,0.9455483479631324
26,720.0,0,0,0,0,0,0,1.5499683985732766,0.967067118379793
27,714.0,0,0,0,0,0,0,1.5773593771859367,0.8274964059977659
28,850.0,0,0,0,0,0,0,1.6426566510938523,1.0304191916133978
29,1000.0,0,0,0,0,0,0,1.9938986911839924,1.2664329534512493
30,920.0,0,0,0,0,0,0,1.8398015734820932,1.0934281735672622
31,955.0,0,0,0,0,0,0,1.8477737727912076,1.0850804748225058
32,925.0,0,0,0,0,0,0,1.9602260545766863,1.3518384290952634
33,975.0,0,0,0,0,0,0,1.9404251101439032,1.3504419056939532
34,950.0,0,0,0,0,0,0,1.7694268873160006,1.1308944658599913
36,69.0,0,0,0,1,0,0,-0.859095418905167,-0.9725742611097319
37,78.0,0,0,0,1,0,0,-0.7808794558793873,-0.9226189764485839
38,87.0,0,0,0,1,0,0,-0.7694475878622578,-0.7597931124861554
39,120.0,0,0,0,1,0,0,-0.6059693248210162,-0.5200151214084742
41,110.0,0,0,0,1,0,0,-0.6188998436012491,-0.6269779464465959
42,120.0,0,0,0,1,0,0,-0.6331627723731003,-0.6878434366628116
43,150.0,0,0,0,1,0,0,-0.7174772845399464,-0.4122608317312618
44,145.0,0,0,0,1,0,0,-0.49574839726637526,-0.5358204927435762
45,160.0,0,0,0,1,0,0,-0.3930047015633458,-0.3729097774405208
46,140.0,0,0,0,1,0,0,-0.5176447448389206,-0.6694076522472209
47,160.0,0,0,0,1,0,0,-0.5570792050647158,-0.38502847576590743
48,169.0,0,0,0,1,0,0,-0.26749631140631996,-0.36401651741722285
49,161.0,0,0,0,1,0,0,-0.42312240584136224,-0.4859065580926799
50,200.0,0,0,0,1,0,0,-0.30161391949162536,-0.19002379240898534
51,180.0,0,0,0,1,0,0,-0.3795057846464909,-0.32177864533219236
55,270.0,0,0,0,0,0,1,-0.06317998504299689,-0.11843822680758025
56,270.0,0,0,0,0,0,1,-0.1190328824439023,-0.11790345346888714
57,306.0,0,0,0,0,0,1,0.029840463560391623,0.1388856634470797
58,540.0,0,0,0,0,0,1,0.46570098581655195,1.2425479065435419
59,800.0,0,0,0,0,0,1,0.6776929032432052,1.2493063311931785
60,1000.0,0,0,0,0,0,1,0.7975769655240752,1.2209871366346081
61,55.0,1,0,0,0,0,0,-0.4405082192419696,-1.2729670658641894
62,60.0,1,0,0,0,0,0,-0.5105335671245552,-1.2804575933092863
63,90.0,1,0,0,0,0,0,-0.29952365618508425,-1.0625442058484125
64,120.0,1,0,0,0,0,0,-0.06039291238579653,-0.914348952822025
65,150.0,1,0,0,0,0,0,0.056365875763844324,-0.6887443889064591
66,140.0,1,0,0,0,0,0,-0.026184724215424043,-0.6877833737810467
67,170.0,1,0,0,0,0,0,0.1709621906305053,-0.6181605507361314
68,145.0,1,0,0,0,0,0,0.24700873156210687,-0.7703212848528913
69,200.0,1,0,0,0,0,0,0.3803719838562167,-0.4665286007273864
70,273.0,1,0,0,0,0,0,0.5383259836896608,-0.18002973476200798
71,300.0,1,0,0,0,0,0,0.5967244974601704,-0.12651984640933261
72,5.9,0,1,0,0,0,0,-1.9150182813008336,-1.8368841534807248
73,32.0,0,1,0,0,0,0,-1.4024814404396038,-1.4728142369650725
74,40.0,0,1,0,0,0,0,-1.3054401699215488,-1.2087795583813965
75,51.5,0,1,0,0,0,0,-1.0658579096012117,-1.0876275090736274
76,70.0,0,1,0,0,0,0,-1.0671840437711066,-0.9002271000568904
77,100.0,0,1,0,0,0,0,-0.8807848867273115,-0.6714490533046553
78,78.0,0,1,0,0,0,0,-0.887439407372394,-0.790602253650253
79,80.0,0,1,0,0,0,0,-0.7641055852525463,-0.8346854708843401
80,85.0,0,1,0,0,0,0,-0.9051653763482446,-0.842759962381213
81,85.0,0,1,0,0,0,0,-0.9212367817359525,-1.0026236250522413
82,110.0,0,1,0,0,0,0,-0.7483722765778391,-0.531509449316303
83,115.0,0,1,0,0,0,0,-0.6865479196299566,-0.6799157851775098
84,125.0,0,1,0,0,0,0,-0.7483722765778391,-0.4641965574317316
85,130.0,0,1,0,0,0,0,-0.5613076498039885,-0.5440843513543644
86,120.0,0,1,0,0,0,0,-0.6344007087310344,-0.6198999117973832
87,120.0,0,1,0,0,0,0,-0.7629379917658685,-0.549474552090423
88,130.0,0,1,0,0,0,0,-0.6344007087310344,-0.549474552090423
89,135.0,0,1,0,0,0,0,-0.6981525600399794,-0.549474552090423
90,110.0,0,1,0,0,0,0,-0.7957350697195258,-0.26872939078133556
91,130.0,0,1,0,0,0,0,-0.7033514295526824,-0.49021375813439344
92,150.0,0,1,0,0,0,0,-0.4547926277301335,-0.49021375813439344
93,145.0,0,1,0,0,0,0,-0.6768259144196028,-0.48662439977114963
94,150.0,0,1,0,0,0,0,-0.8819027175144846,-0.4890172775632954
95,170.0,0,1,0,0,0,0,-0.5902293943225311,-0.4298259672631929
96,225.0,0,1,0,0,0,0,-0.3275252516416937,-0.4310210873283548
97,145.0,0,1,0,0,0,0,-0.563688044040308,-0.3701043616983384
98,188.0,0,1,0,0,0,0,-0.46992694509960686,-0.16706386787306354
99,180.0,0,1,0,0,0,0,-0.546658608038988,-0.45463029491182394
100,197.0,0,1,0,0,0,0,-0.5147674519714276,-0.12354853176022207
101,218.0,0,1,0,0,0,0,-0.3589320220413863,-0.18002973476200798
102,300.0,0,1,0,0,0,0,-0.07676102614765909,0.4079419904723939
103,260.0,0,1,0,0,0,0,-0.35913375069090464,-0.06652865173938553
104,265.0,0,1,0,0,0,0,-0.38838193215467826,-0.06652865173938553
105,250.0,0,1,0,0,0,0,-0.33007966284790524,0.07057007901633558
106,250.0,0,1,0,0,0,0,-0.1974011019620236,-0.14423204961823516
107,300.0,0,1,0,0,0,0,-0.2549660430940178,0.1115447827655437
108,320.0,0,1,0,0,0,0,-0.24748429127680666,0.19211292475838265
109,514.0,0,1,0,0,0,0,0.3116936988211818,0.924959532320826
110,556.0,0,1,0,0,0,0,0.361043753927564,1.140812505056139
111,840.0,0,1,0,0,0,0,0.6216444561760441,1.9583762022793896
112,685.0,0,1,0,0,0,0,0.49474266007278034,1.4183210909410546
113,700.0,0,1,0,0,0,0,0.43694834208116345,1.3466595380887865
114,700.0,0,1,0,0,0,0,0.48500909245074314,1.069083125057168
115,690.0,0,1,0,0,0,0,0.42894910231334293,1.128618977787762
116,900.0,0,1,0,0,0,0,0.5485075784639887,1.7835029418655455
117,650.0,0,1,0,0,0,0,0.5485075784639887,0.9161842051192902
118,820.0,0,1,0,0,0,0,0.8130235202879799,1.7012445878667812
119,850.0,0,1,0,0,0,0,0.7118074910764554,1.5591424497010282
120,900.0,0,1,0,0,0,0,0.6713114053681711,1.627959871049958
121,1015.0,0,1,0,0,0,0,0.8029370554902158,1.7655514784519024
122,820.0,0,1,0,0,0,0,0.5481726875591284,1.2821583502198315
123,1100.0,0,1,0,0,0,0,0.8861701826838178,1.4208793112213645
124,1000.0,0,1,0,0,0,0,0.7126607322580227,1.6582318846503976
125,1100.0,0,1,0,0,0,0,0.8292044292913368,1.7389652388061188
126,1000.0,0,1,0,0,0,0,0.8473831314136511,2.1583065997038706
127,1000.0,0,1,0,0,0,0,0.8244864142706974,1.8427757394471387
128,200.0,0,0,1,0,0,0,-0.7830022137011285,-0.6390369505151526
129,300.0,0,0,1,0,0,0,-0.7441375341310672,-0.171702692916681
130,300.0,0,0,1,0,0,0,-0.6813980435631748,-0.03720870686167804
131,300.0,0,0,1,0,0,0,-0.586662939764331,-0.2539562091952526
132,430.0,0,0,1,0,0,0,-0.3282763955685531,0.07667064031377187
133,345.0,0,0,1,0,0,0,-0.558135912743772,-0.27945432818053534
134,456.0,0,0,1,0,0,0,-0.3307811325738713,-0.07394997316952857
135,510.0,0,0,1,0,0,0,-0.44629344978512164,0.007040634416690467
136,540.0,0,0,1,0,0,0,-0.20577498668241603,0.40340486448168694
137,500.0,0,0,1,0,0,0,-0.4116983717698312,0.26561160103023157
138,567.0,0,0,1,0,0,0,-0.20431331649071227,0.25025708577083844
139,770.0,0,0,1,0,0,0,-0.23167569483418826,0.5484431965794427
140,950.0,0,0,1,0,0,0,0.06405597300439145,1.0145275769187494
141,1250.0,0,0,1,0,0,0,0.4534218990012722,1.4885861923556025
142,1600.0,0,0,1,0,0,0,0.21667465808507738,0.9986327239324364
143,1550.0,0,0,1,0,0,0,0.21667465808507738,0.9986327239324364
144,1650.0,0,0,1,0,0,0,0.48013563547587934,1.7757437096738304
145,6.7,0,0,0,0,1,0,-2.067624733727853,-2.061132258105213
146,7.5,0,0,0,0,1,0,-1.9712003199523462,-1.9909831018581212
147,7.0,0,0,0,0,1,0,-2.0720132104797915,-1.9982134452245348
148,9.7,0,0,0,0,1,0,-1.8818788635232757,-1.8542380382753074
149,9.8,0,0,0,0,1,0,-1.9264770088735952,-1.9180467307893083
150,8.7,0,0,0,0,1,0,-1.9686862491042696,-1.9130756076136823
151,10.0,0,0,0,0,1,0,-1.8748701800996066,-1.9139454865930032
152,9.9,0,0,0,0,1,0,-1.8748701800996066,-1.987306400520901
153,9.8,0,0,0,0,1,0,-1.8785875792979523,-1.9982134452245348
154,12.2,0,0,0,0,1,0,-1.9236076234210717,-1.8458076466358238
155,13.4,0,0,0,0,1,0,-1.791662005566674,-1.9231431057845365
156,12.2,0,0,0,0,1,0,-1.8503088556028413,-1.9313491065713093
